date,weight
20180628,85.4
20180627,85.0
20180621,85.8
20180620,85.8
20180613,85.2
20180607,85.7
20180604,85.1
20180603,85.6
20180601,85.4
20180531,84.8
20180530,84.2
20180528,85.4
20180525,84.4
20180520,84.7
20180518,84.7
20180513,84.3
20180510,83.5
20180507,83.4
20180503,84.5
20180423,83.7
20180422,83.7
20180419,84.1
20180417,83.6
20180408,83.3
20180407,82.4
20180406,83.3
20180403,83.5
20180401,84.3
20180331,84.7
20180328,83.3
20180325,82.4
20180322,83.1
20180321,83.1
20180320,83.1
20180319,82.5
20180318,81.7
20180317,82.5
20180315,82.3
20180314,82.0
20180312,82.7
20180311,82.7
20180310,82.6
20180309,82.6
20180307,81.7
20180306,81.4
20180305,80.8
20180304,81.7
20180303,82.7
20180302,82.5
20180301,82.5
20180228,82.4
20180227,83.6
20180226,84.4
20180225,83.9
20180224,83.9
20180222,83.0
20180221,82.0
20180219,83.0
20180217,82.6
20180216,82.6
20180215,82.3
20180214,82.6
20180212,83.5
20180211,84.4
20180210,84.4
20180208,83.6
20180207,84.2
20180206,83.5
20180205,83.9
20180204,83.5
20180203,83.8
20180202,83.5
20180201,83.9
20180131,82.5
20180130,82.5
20180129,83.5
20180128,83.6
20180127,82.7
20180126,82.2
20180124,83.7
20180123,85.5
20180121,84.0
20180120,84.0
20180114,84.7
20180109,83.7
20180108,84.5
20180106,83.7
20180104,84.5
20171229,83.6
20171228,84.1
20171227,83.4
20171223,83.5
20171222,83.5
20171221,83.5
20171220,83.7
20171219,83.7
20171218,84.3
20171217,83.2
20171216,83.8
20171215,83.3
20171214,82.7
20171213,83.3
20171212,83.1
20171211,84.1
20171210,83.9
20171209,84.6
20171208,84.2
20171207,83.5
20171206,83.3
20171205,83.3
20171204,84.1
20171203,84.1
20171202,84.0
20171201,84.6
20171130,84.8
20171129,83.8
20171128,83.8
20171127,84.6
20171126,84.9
20171125,84.5
20171124,84.9
20171123,85.0
20171122,85.1
20171121,85.0
20171120,85.8
20171119,86.3
20171116,84.9
20171115,84.0
20171114,84.2
20171113,85.1
20171111,86.3
20171110,86.7
20171109,85.5
20171108,85.0
20171107,85.5
20171106,86.5
20171105,86.8
20171104,86.1
20171103,86.1
20171102,86.0
20171101,86.2
20171031,85.4
20171030,85.8
20171029,86.3
20171028,86.6
20171027,86.4
20171026,86.0
20171025,85.8
20171024,86.2
20171023,86.3
20171022,86.1
20171021,86.3
20171020,86.2
20171019,87.2
20171018,87.7
20171016,88.0
20171014,88.1
20171013,88.6
20171012,87.5
20171011,88.1
20171010,87.3
20171009,87.8
20171008,88.0
20171007,88.0
20171006,87.9
20171005,87.8
20171004,88.3
20171003,88.3
20171002,88.9
20171001,88.0
20170930,88.0
20170929,88.5
20170928,88.8
20170927,88.4
20170926,88.7
20170925,89.8
20170924,89.6
20170923,89.0
20170922,89.3
20170921,89.4
20170918,89.5
20170916,90.6
20170915,89.3
20170914,89.3
20170913,89.7
20170912,90.1
20170911,91.2
20170910,90.4
20170909,90.4
20170908,90.7
20170907,90.3
20170906,90.4
20170905,90.8
20170904,91.2
20170903,90.9
20170902,91.2
20170901,91.6
20170831,91.7
20170830,91.9
20170829,92.2
20170828,93.0
20170827,93.1
20170826,93.0
20170825,93.0
20170824,93.1
20170823,93.1
20170822,92.2
20170821,92.4
20170820,92.9
20170819,93.0
20170818,93.1
20170817,93.0
20170816,94.6
20170815,95.0
