"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"ADOLFO",6,5,7,5,7,5,6,5,7,5,7,5,7,7,5,6,4,6,5,6,6,7,6,7,7,6,7,3609,"SP",27
"AGUA CLARA",15,14,14,14,14,15,15,15,14,14,14,15,14,15,15,15,14,15,14,15,15,14,15,14,14,15,14,14992,"MS",27
"AGUA DOCE",4,2,2,2,2,4,4,4,2,2,2,4,2,4,6,6,2,2,2,2,2,2,4,3,3,6,2,7154,"SC",27
"AGUAI",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35508,"SP",27
"AGUANIL",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4440,"MG",27
"AGUAS DE SANTA BARBARA",7,4,9,3,7,7,7,6,8,4,8,7,7,7,7,7,4,7,7,7,7,7,7,6,7,7,7,6009,"SP",27
"AGUAS DE SAO PEDRO",9,5,8,5,8,8,8,9,9,5,8,8,8,8,8,8,5,8,8,8,8,8,8,7,9,8,8,3268,"SP",27
"AGUAS FRIAS",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2387,"SC",27
"AGUDOS",10,12,15,12,15,10,10,10,17,12,17,10,15,10,10,10,7,10,12,10,10,15,10,14,15,10,15,36880,"SP",27
"AGUDOS DO SUL",3,3,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3,9161,"PR",27
"AGUIA BRANCA",6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,6,6,6,6,6,5,6,6,6,10085,"ES",27
"ALAMBARI",1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,5754,"SP",27
"ALBERTINA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3046,"MG",27
"ALTINOPOLIS",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16219,"SP",27
"ALTO ALEGRE",13,9,20,9,21,13,13,13,18,9,18,13,21,12,13,14,9,13,12,13,13,21,13,21,22,13,21,15933,"RR",27
"ALVARES FLORENCE",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3795,"SP",27
"ALVINLANDIA",6,6,6,6,6,6,6,6,2,4,2,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,3196,"SP",27
"AMERICANA",1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,35,8,1,1,233868,"SP",27
"AMERICO BRASILIENSE",3,3,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,39189,"SP",27
