"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"AGUA CLARA",15,14,14,14,14,15,15,15,14,14,14,13,14,14,15,14,14,14,14,15,15,13,15,14,1,15,14,14992,"MS",27
"ARAGUARI",257,219,256,219,183,258,257,257,178,177,178,1,141,44,38,3,181,257,180,180,258,222,180,257,1,74,180,117445,"MG",27
"BAURU",37,64,71,68,60,35,35,36,65,65,49,1,60,16,16,2,59,48,29,35,49,60,8,56,2,7,63,371690,"SP",27
"CACAPAVA",2,26,43,26,45,2,2,3,41,23,41,3,50,4,4,3,5,19,17,2,3,44,3,33,1,3,48,92587,"SP",27
"ELOI MENDES",2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27730,"MG",27
"FLORIDA",1,1,1,1,3,2,3,2,1,1,1,1,4,4,4,2,1,3,4,2,4,3,3,1,1,3,3,2697,"PR",27
"GUARAREMA",2,4,12,7,11,3,3,2,8,5,7,4,12,2,4,3,5,3,3,3,3,11,3,11,2,2,12,28978,"SP",27
"GUARULHOS",13,22,23,22,16,5,12,11,22,22,13,2,16,3,3,2,17,12,12,12,11,17,9,12,1,2,21,1349113,"SP",27
"IPIRA",6,3,6,2,2,6,6,6,2,2,2,6,2,6,6,5,2,5,2,2,2,2,6,6,4,4,1,62631,"BA",27
"LEME",20,33,38,38,28,21,24,20,34,34,22,8,22,9,8,7,24,24,16,20,24,28,16,23,4,12,33,101184,"SP",27
"LOURDES",2,3,5,3,6,2,2,2,6,3,6,2,6,2,2,2,2,3,3,2,2,6,2,6,2,2,6,2270,"SP",27
"PACATUBA",7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,1,7,7,82824,"CE",27
"POTIRENDABA",214,136,215,137,136,216,212,214,136,136,136,210,136,154,212,214,136,211,136,214,215,136,202,151,5,216,137,17002,"SP",27
"RIBEIRAO PRETO",44,86,71,72,62,45,46,46,88,90,52,37,58,49,51,42,64,55,54,51,56,59,54,76,1,40,63,682302,"SP",27
"SELVIRIA",10,11,11,11,10,10,10,10,11,11,11,4,11,5,10,5,11,5,10,10,10,11,10,11,1,10,11,6482,"MS",27
"TANGARA DA SERRA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,98828,"MT",27
"TRAJANO DE MORAES",7,5,7,5,5,9,9,7,5,5,5,3,5,5,5,5,5,5,5,5,5,5,9,5,1,7,5,10352,"RJ",27
"TRES LAGOAS",36,36,36,36,36,37,37,37,36,36,32,37,37,34,37,37,37,37,33,37,37,34,37,36,1,37,35,117477,"MS",27
"ANDRADINA",6,5,5,5,5,5,5,6,6,6,6,3,5,5,5,5,5,5,5,5,5,5,5,6,0,5,5,57350,"SP",26
"APARECIDA DO TABOADO",3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,2,3,3,0,3,3,25072,"MS",26
"ARARANGUA",3,2,3,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,0,2,2,67110,"SC",26
"ARARAS",47,48,50,47,46,42,42,44,50,50,46,9,46,9,11,11,46,42,13,42,41,44,9,49,0,9,48,131282,"SP",26
"ARAUCARIA",2,14,13,4,12,14,1,8,2,14,14,2,5,2,2,2,13,11,13,13,14,13,6,13,0,2,12,137452,"PR",26
"ARAUJOS",2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,0,1,2,8996,"MG",26
"BADY BASSITT",95,64,95,64,64,95,95,95,64,64,64,95,64,95,95,95,64,95,64,95,95,63,94,78,0,94,64,16843,"SP",26
"BALNEARIO CAMBORIU",4,4,6,4,4,5,1,6,3,4,3,3,4,5,5,5,4,2,5,2,3,3,2,6,0,3,4,135268,"SC",26
"BATAGUASSU",17,16,16,16,16,17,17,17,16,16,15,17,16,17,17,17,16,17,13,17,17,15,17,16,0,17,16,22389,"MS",26
"BIRIGUI",8,105,110,110,67,10,8,6,106,110,46,8,8,8,8,8,15,14,8,4,10,62,10,106,0,8,104,120692,"SP",26
"BOM JARDIM DA SERRA",7,4,4,4,4,7,7,7,4,4,4,4,4,4,1,1,4,4,4,4,4,5,7,3,0,1,4,4694,"SC",26
"BOM RETIRO",11,8,8,7,6,12,12,12,6,7,6,7,7,7,3,1,7,7,7,7,9,6,11,6,0,1,7,9796,"SC",26
"BONITO",3,2,5,1,1,3,3,4,1,1,1,4,1,4,3,4,1,4,0,1,1,1,4,4,3,4,1,15834,"PA",26
"BOQUIM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,26961,"SE",26
"BOTUCATU",1,26,41,26,47,1,1,3,48,25,47,2,48,6,3,4,5,33,33,4,3,47,3,50,0,3,47,142546,"SP",26
"BRACO DO TROMBUDO",11,8,11,8,8,12,8,12,5,8,10,9,10,5,5,4,8,10,8,10,10,8,6,12,0,5,8,3709,"SC",26
