"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","UF","Population","How many different pesticides over or equal to the limit?"
"BIRIGUI",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,"SP",120692,27
"GUARULHOS",4,2,1,2,2,2,4,1,3,2,2,1,1,1,1,1,2,3,1,1,1,2,2,1,4,1,2,"SP",1349113,27
"ITAPIRANGA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"AM",9125,27
"SEBASTIANOPOLIS DO SUL",5,1,3,1,5,5,5,5,3,1,3,5,5,5,5,7,1,5,5,5,5,5,3,5,13,3,5,"SP",3411,27
"TAVARES",2,4,2,2,4,2,2,2,4,2,2,2,4,4,2,2,2,4,4,4,4,2,2,4,3,2,2,"PB",14661,27
"TURIUBA",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,"SP",2016,27
"AGUA CLARA",1,1,0,1,2,1,1,1,13,0,1,12,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,"MS",14992,25
"JURANDA",1,2,1,3,2,1,1,0,1,3,2,1,1,1,1,1,2,1,2,1,1,2,0,2,1,1,4,"PR",7650,25
"MIMOSO DO SUL",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"ES",27388,24
"TAPIRATIBA",1,3,0,1,1,3,3,3,4,3,3,2,1,3,2,2,3,2,1,1,2,3,0,2,4,0,1,"SP",13062,24
"SALMOURAO",1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"SP",5222,23
"LUCIANOPOLIS",1,0,0,0,1,2,1,1,1,0,1,2,1,1,1,1,0,2,1,1,1,1,1,0,1,0,1,"SP",2381,20
"BOA ESPERANCA",2,2,0,1,2,2,2,2,2,2,3,0,2,2,0,0,2,0,2,2,0,2,0,0,1,1,2,"MG",40530,19
"BURITIZEIRO",2,2,0,4,2,4,2,2,4,4,4,0,2,4,0,0,2,0,4,2,0,2,0,0,1,1,2,"MG",28335,19
"PIRAPORA",8,8,0,6,6,6,6,8,12,8,12,0,8,8,0,0,6,0,6,6,0,6,0,0,4,4,6,"MG",56706,19
"SAO JORGE DO IVAI",1,0,0,0,2,1,2,1,0,0,0,1,1,2,2,1,0,1,1,1,2,2,2,0,1,2,2,"PR",5676,19
"TRES PONTAS",8,8,0,8,8,9,8,10,8,8,8,0,8,8,0,0,8,0,8,8,0,8,0,0,6,4,8,"MG",57097,19
"UBERABA",4,4,0,4,4,4,4,4,49,4,4,0,4,4,1,0,4,0,4,4,0,1,0,0,1,0,4,"MG",328272,19
"CACONDE",4,4,0,4,4,4,4,4,4,4,4,0,4,4,0,0,4,0,4,4,0,4,0,0,2,0,4,"SP",19025,18
"ITUVERAVA",1,1,0,1,1,1,1,1,2,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,"SP",41414,18
"ARAGUARI",0,0,0,37,1,39,5,1,177,38,38,1,35,39,1,0,0,0,39,0,1,0,1,0,109,1,0,"MG",117445,17
"COLIDER",6,3,0,3,3,6,6,6,3,3,3,0,3,3,0,0,3,0,3,3,0,3,0,0,0,0,3,"MT",32298,17
"JUARA",2,2,0,2,2,2,2,2,2,2,2,0,2,2,0,0,2,0,2,2,0,2,0,0,0,0,2,"MT",33851,17
"MOEMA",3,3,0,3,3,3,3,3,3,3,3,0,3,3,0,0,2,0,3,3,0,3,0,0,0,0,3,"MG",7525,17
"NOVA CANAA DO NORTE",4,4,0,4,4,4,4,4,4,4,4,0,4,4,0,0,4,0,4,4,0,4,0,0,0,0,4,"MT",12388,17
"PORTO ESPERIDIAO",1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,"MT",11603,17
"SAO JOSE DO RIO CLARO",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,"MT",19728,17
"TABAPORA",1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,"MT",9309,17
"PLANALTO",0,1,0,1,1,0,0,0,1,1,1,2,1,2,0,0,1,2,1,0,0,1,0,1,2,0,1,"BA",26915,16
"PARISI",2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,5,2,0,"SP",2150,15
"RIBEIRAO PRETO",3,2,3,4,2,0,2,0,4,2,2,0,3,37,0,0,4,0,0,0,0,2,0,0,40,0,2,"SP",682302,15
"VARGEM GRANDE DO SUL",1,1,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,1,3,1,0,"SP",42310,15
"CAMPINA GRANDE DO SUL",0,14,0,4,12,0,0,0,4,15,15,0,3,0,0,0,13,0,14,0,1,13,0,15,1,0,13,"PR",42547,14
"PATROCINIO",6,2,1,2,3,0,6,0,3,3,3,1,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,"MG",89983,14
"PORTO LUCENA",1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,"RS",5227,14
"SANTO ANTONIO DO PLANALTO",1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,"RS",2059,14
"SERRANOPOLIS DO IGUACU",0,8,0,4,8,0,0,0,8,8,8,0,8,0,0,1,8,0,8,0,0,8,0,8,0,1,9,"PR",4637,14
"ASTORGA",0,16,0,14,16,0,1,0,15,17,17,0,17,0,0,0,17,0,17,0,0,17,0,16,0,0,15,"PR",26196,13
"BOCAIUVA DO SUL",1,4,0,1,3,0,0,0,1,3,4,0,3,0,0,0,4,0,4,0,0,3,0,3,0,0,4,"PR",12477,13
"CAMPO MAGRO",0,8,0,8,8,0,0,0,7,8,7,0,8,0,0,0,8,0,8,0,1,8,0,8,0,0,8,"PR",28244,13
"CLEVELANDIA",0,2,0,2,2,0,0,1,2,2,2,0,1,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",17250,13
"CORUMBATAI DO SUL",0,2,0,2,1,0,1,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,1,"PR",3617,13
"FERNANDES PINHEIRO",0,19,0,14,20,0,0,0,14,20,20,0,16,0,1,0,20,0,21,0,0,19,0,20,0,0,20,"PR",5904,13
"FLORAI",0,4,0,4,4,1,0,0,4,4,4,0,3,0,0,0,4,0,3,0,0,4,0,4,0,0,4,"PR",5103,13
"GUARATUBA",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,1,2,0,0,2,0,2,0,0,2,"PR",35986,13
