"Município",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"ABAIARA",0,0,0,0,0,0,0,0,0,4,11605,"CE"
"ACAILANDIA",0,0,0,0,0,0,0,0,0,7,111339,"MA"
"ACARAPE",0,0,0,0,0,0,0,0,0,3,16543,"CE"
"ACARAU",0,0,0,0,0,0,0,0,0,5,62199,"CE"
"ACARI",0,0,0,0,0,0,0,0,0,28,11333,"RN"
"ACOPIARA",0,0,0,0,0,0,0,0,0,4,53572,"CE"
"AGROLANDIA",0,0,0,0,0,0,0,0,0,2,10581,"SC"
"AGUA BOA",0,0,0,0,0,0,0,0,0,3,14370,"MG"
"AGUA BRANCA",0,0,0,0,0,0,0,0,0,2,17119,"PI"
"AGUA CLARA",0,1,0,1,0,0,0,0,2,2,14992,"MS"
"AGUAS DE SAO PEDRO",0,0,0,0,0,0,2,0,2,3,3268,"SP"
"AGUAS FRIAS",0,0,0,0,0,0,0,0,0,1,2387,"SC"
"AGUAS MORNAS",0,0,0,0,0,0,0,0,0,11,6298,"SC"
"AGUDO",0,0,0,0,0,0,0,0,0,6,17085,"RS"
"AIUABA",0,0,0,0,0,0,0,0,0,3,17194,"CE"
"ALCANTARAS",0,0,0,0,0,0,0,0,0,4,11459,"CE"
"ALEGRETE",0,0,0,0,0,0,0,0,0,3,78003,"RS"
"ALEGRIA",0,0,0,0,0,0,0,0,0,1,4037,"RS"
"ALFREDO VASCONCELOS",0,0,0,0,0,0,0,0,0,2,6775,"MG"
"ALFREDO WAGNER",0,4,0,0,3,0,0,0,7,25,9960,"SC"
"ALPERCATA",0,0,0,0,0,0,0,0,0,70,7515,"MG"
"ALTA FLORESTA",0,0,0,0,0,0,0,0,0,2,50189,"MT"
"ALTANEIRA",0,0,0,0,0,0,0,0,0,4,7479,"CE"
"ALTO ALEGRE",0,0,0,0,0,0,0,0,0,3,15933,"RR"
"ALTO GARCAS",0,0,0,0,0,0,0,0,0,4,11532,"MT"
"ALTO SANTO",0,0,0,0,0,0,0,0,0,3,16976,"CE"
"ALVARES FLORENCE",0,0,0,0,0,0,2,0,2,2,3795,"SP"
"ALVORADA",0,0,0,0,0,0,0,0,0,22,8516,"TO"
"AMAJARI",0,0,0,0,0,0,0,0,0,5,11560,"RR"
"AMONTADA",0,0,0,0,0,0,0,0,0,5,42901,"CE"
"ANANINDEUA",0,0,0,0,0,0,0,0,0,4,516057,"PA"
"ANCHIETA",0,0,0,0,0,0,0,0,0,2,28546,"ES"
"ANGELINA",0,0,0,0,0,0,0,0,0,3,4943,"SC"
"ANTONINA DO NORTE",0,0,0,0,0,0,0,0,0,3,7278,"CE"
"ANTONIO CARLOS",0,0,0,0,0,0,0,0,0,24,11608,"MG"
"APUIARES",0,0,0,0,0,0,0,0,0,4,14719,"CE"
"AQUIRAZ",0,0,0,0,0,0,0,0,0,4,79128,"CE"
"ARACAJU",0,0,0,0,0,0,0,0,0,6,650106,"SE"
"ARACATI",0,0,0,0,0,0,0,0,0,4,73629,"CE"
"ARACOIABA",0,0,0,0,0,0,0,0,0,3,26269,"CE"
"ARACRUZ",0,0,0,0,0,0,0,0,0,2,98393,"ES"
"ARAGUACU",0,0,0,0,0,0,0,0,0,25,8692,"TO"
"ARAGUAINA",0,0,0,0,0,0,0,0,0,22,175960,"TO"
"ARAGUANA",0,0,0,0,0,0,0,0,0,17,5645,"TO"
"ARAPIRACA",0,0,0,0,0,0,0,0,0,1,234185,"AL"
"ARAQUARI",0,0,0,0,0,0,0,0,0,10,35268,"SC"
"ARARANGUA",0,0,0,0,0,0,0,0,0,5,67110,"SC"
"ARARENDA",0,0,0,0,0,0,0,0,0,2,10823,"CE"
"ARARI",0,0,0,0,0,0,0,0,0,9,29388,"MA"
"ARARICA",0,0,0,0,0,0,0,0,0,2,5395,"RS"
"ARARIPE",0,0,0,0,0,0,0,0,0,4,21398,"CE"
"ARATUBA",0,0,0,0,0,0,0,0,0,2,11244,"CE"
"ARAUA",0,0,0,0,0,0,0,0,0,1,10362,"SE"
"ARAUCARIA",0,0,0,0,0,0,2,0,2,4,137452,"PR"
"AREIA",0,0,0,0,0,0,0,0,0,1,22776,"PB"
"ARES",0,0,0,0,0,0,0,0,0,1,14307,"RN"
"ARINOS",0,0,0,0,0,0,0,0,0,2,18243,"MG"
