ibgeCode,>2ppb,=2ppb,1ppb<x<2ppb,=1ppb,0.1ppb<x<1ppb,=0.1ppb,0ppb<x<0.1ppb,=0ppb,all Detections,all Measurements,Population,UF,name
120020,1,0,2,0,0,0,0,0,1,1,82622,AC,Cruzeiro do Sul
120033,1,0,1,0,0,0,0,0,1,1,17910,AC,Mâncio Lima
120038,1,0,1,0,0,0,0,0,1,1,18510,AC,Plácido de Castro
120042,1,0,0,0,0,0,0,0,1,1,17945,AC,Rodrigues Alves
130030,1,0,0,0,0,0,0,0,1,1,38454,AM,Autazes
130165,1,0,0,0,0,0,0,0,1,1,16339,AM,Guajará
130185,1,0,0,0,0,0,0,0,1,1,47407,AM,Iranduba
130190,1,0,0,0,0,0,0,0,1,1,99854,AM,Itacoatiara
130260,1,0,0,0,0,0,0,0,1,1,2130264,AM,Manaus
130320,1,0,0,0,0,0,0,0,1,1,18586,AM,Novo Airão
130380,1,0,0,0,0,0,0,0,1,1,44553,AM,São Gabriel da Cachoeira
140002,1,0,2,0,0,0,0,0,1,1,11560,RR,Amajari
140005,1,0,0,0,0,0,0,0,1,1,15933,RR,Alto Alegre
140010,1,0,1,0,0,0,0,0,1,1,332020,RR,Boa Vista
140015,1,0,3,0,0,0,0,0,1,1,11945,RR,Bonfim
140017,1,0,0,0,0,0,0,0,1,1,16877,RR,Cantá
140020,1,0,3,0,0,0,0,0,1,1,20807,RR,Caracaraí
140023,1,0,1,0,0,0,0,0,1,1,9493,RR,Caroebe
140028,1,0,2,0,0,0,0,0,1,1,10859,RR,Iracema
140040,1,0,3,0,0,0,0,0,1,1,10527,RR,Normandia
140045,1,0,2,0,0,0,0,0,1,1,12375,RR,Pacaraima
140047,1,0,2,0,0,0,0,0,1,1,28215,RR,Rorainópolis
140050,1,0,1,0,0,0,0,0,1,1,7740,RR,São João da Baliza
140060,1,0,1,0,0,0,0,0,1,1,7597,RR,São Luiz
140070,1,0,0,0,0,0,0,0,1,1,9836,RR,Uiramutã
150080,1,0,0,0,0,0,0,0,1,1,516057,PA,Ananindeua
150140,1,0,0,0,0,0,0,0,1,1,1452275,PA,Belém
150150,1,0,0,0,0,0,0,0,1,1,60990,PA,Benevides
150442,1,0,0,0,0,0,0,0,1,1,127858,PA,Marituba
150635,1,0,1,0,0,0,0,0,1,1,20492,PA,Santa Bárbara do Pará
150670,1,0,0,0,0,0,0,0,1,1,70764,PA,Santana do Araguaia
150700,1,0,0,0,0,0,0,0,1,1,30611,PA,Santo Antônio do Tauá
150803,1,0,0,0,0,0,0,0,1,1,30108,PA,Tracuateua
150812,1,0,0,0,0,0,0,0,1,1,57525,PA,Ulianópolis
170070,1,0,0,0,0,0,0,0,1,1,8516,TO,Alvorada
170200,1,0,0,0,0,0,0,0,1,1,8692,TO,Araguaçu
170210,1,0,0,0,0,0,0,0,1,1,175960,TO,Araguaína
170310,1,0,0,0,0,0,0,0,1,1,5643,TO,Barrolândia
170384,1,0,0,0,0,0,0,0,1,1,9795,TO,Campos Lindos
170610,1,0,0,0,0,0,0,0,1,1,7374,TO,Cristalândia
170700,1,0,0,0,0,0,0,0,1,1,21738,TO,Dianópolis
170765,1,0,0,0,0,0,0,0,1,1,5352,TO,Figueirópolis
170820,1,0,0,0,0,0,0,0,1,1,18684,TO,Formoso do Araguaia
170900,1,0,0,0,0,0,0,0,1,1,12973,TO,Goiatins
170950,1,0,0,0,0,0,0,0,1,1,85523,TO,Gurupi
171190,1,0,0,0,0,0,0,0,1,1,12808,TO,Lagoa da Confusão
171320,1,0,0,0,0,0,0,0,1,1,19055,TO,Miracema do Tocantins
171330,1,0,0,0,0,0,0,0,1,1,13426,TO,Miranorte
171360,1,0,0,0,0,0,0,0,1,1,7770,TO,Monte do Carmo
171420,1,0,0,0,0,0,0,0,1,1,9312,TO,Natividade
171515,1,0,0,0,0,0,0,0,1,1,2353,TO,Novo Alegre
171610,1,0,0,0,0,0,0,0,1,1,50360,TO,Paraíso do Tocantins
