"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
110012,0,0,0,0,0,1,0,0,1,1,132667,"RO","Ji-Paraná"
170215,0,0,0,0,0,0,1,0,1,1,5645,"TO","Araguanã"
171670,0,0,0,0,0,0,0,1,1,1,8409,"TO","Colméia"
172093,0,0,1,0,0,0,0,0,1,1,2130,"TO","Taipas do Tocantins"
172210,0,1,0,0,0,0,0,0,1,1,11683,"TO","Xambioá"
230770,0,0,0,0,0,0,0,1,1,1,126486,"CE","Maranguape"
280067,0,0,1,0,0,0,0,0,1,1,26961,"SE","Boquim"
280330,0,0,1,0,0,0,0,0,1,1,18656,"SE","Japaratuba"
280350,0,0,1,0,0,0,0,0,1,1,104099,"SE","Lagarto"
280430,0,0,1,0,0,0,0,0,1,1,7683,"SE","Muribeca"
280440,0,0,1,0,0,0,0,0,1,1,18953,"SE","Neópolis"
280490,0,0,1,0,0,0,0,0,1,1,14420,"SE","Pacatuba"
280550,0,0,1,0,0,0,0,0,1,1,23740,"SE","Poço Verde"
280570,0,0,1,0,0,0,0,0,1,1,29834,"SE","Propriá"
280600,0,0,1,0,0,0,0,0,1,1,18641,"SE","Ribeirópolis"
280610,0,0,1,0,0,0,0,0,1,1,10699,"SE","Rosário do Catete"
280620,0,0,1,0,0,0,0,0,1,1,20168,"SE","Salgado"
280650,0,0,1,0,0,0,0,0,1,1,3938,"SE","Santa Rosa de Lima"
280720,0,0,1,0,0,0,0,0,1,1,8851,"SE","Siriri"
290020,0,1,0,0,0,0,0,0,1,1,20189,"BA","Abaré"
290040,0,1,0,0,0,0,0,0,1,1,17508,"BA","Água Fria"
290060,0,1,0,0,0,0,0,0,1,1,4725,"BA","Aiquara"
290080,0,1,0,0,0,0,0,0,1,1,23376,"BA","Alcobaça"
290090,0,1,0,0,0,0,0,0,1,1,5985,"BA","Almadina"
290100,0,1,0,0,0,0,0,0,1,1,38259,"BA","Amargosa"
290110,0,1,0,0,0,0,0,0,1,1,26409,"BA","Amélia Rodrigues"
290120,0,1,0,0,0,0,0,0,1,1,19568,"BA","Anagé"
290130,0,1,0,0,0,0,0,0,1,1,13737,"BA","Andaraí"
290140,0,1,0,0,0,0,0,0,1,1,14690,"BA","Angical"
290160,0,1,0,0,0,0,0,0,1,1,19569,"BA","Antas"
290180,0,1,0,0,0,0,0,0,1,1,12072,"BA","Antônio Gonçalves"
290195,0,1,0,0,0,0,0,0,1,1,7730,"BA","Apuarema"
290200,0,1,0,0,0,0,0,0,1,1,13962,"BA","Aracatu"
