"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF","name"
110012,0,0,0,0,0,1,0,0,1,1,132667,"RO","Ji-Paraná"
130260,0,0,0,0,0,0,0,1,1,1,2130264,"AM","Manaus"
140015,0,0,0,0,0,0,0,1,1,1,11945,"RR","Bonfim"
140020,0,0,0,0,0,0,0,1,1,1,20807,"RR","Caracaraí"
140028,0,0,0,0,0,0,0,1,1,1,10859,"RR","Iracema"
140040,0,0,0,0,0,0,0,1,1,1,10527,"RR","Normandia"
140047,0,0,0,0,0,0,0,1,1,1,28215,"RR","Rorainópolis"
140060,0,0,0,0,0,0,0,1,1,1,7597,"RR","São Luiz"
150277,0,0,0,0,0,0,0,1,1,1,17453,"PA","Curionópolis"
170025,0,0,0,0,0,0,0,1,1,1,2571,"TO","Abreulândia"
170030,0,0,0,0,0,0,0,1,1,1,6460,"TO","Aguiarnópolis"
170035,0,0,0,0,0,0,0,1,1,1,5527,"TO","Aliança do Tocantins"
170040,0,0,0,0,0,0,0,1,1,1,7273,"TO","Almas"
170070,0,0,0,0,0,0,0,1,1,1,8516,"TO","Alvorada"
170110,0,0,0,0,0,0,0,1,1,1,4726,"TO","Aparecida do Rio Negro"
170130,0,0,0,0,0,0,0,1,1,1,5865,"TO","Aragominas"
170190,0,0,0,0,0,0,0,1,1,1,7003,"TO","Araguacema"
170200,0,0,0,0,0,0,0,1,1,1,8692,"TO","Araguaçu"
170210,0,0,0,0,0,0,0,1,1,1,175960,"TO","Araguaína"
170215,0,0,0,0,0,0,1,0,1,1,5645,"TO","Araguanã"
170230,0,0,0,0,0,0,0,1,1,1,6756,"TO","Arapoema"
170240,0,0,0,0,0,0,0,1,1,1,10727,"TO","Arraias"
170255,0,0,0,0,0,0,0,1,1,1,18089,"TO","Augustinópolis"
170270,0,0,0,0,0,0,0,1,1,1,3735,"TO","Aurora do Tocantins"
170300,0,0,0,0,0,0,0,1,1,1,10752,"TO","Babaçulândia"
170305,0,0,0,0,0,0,0,1,1,1,3500,"TO","Bandeirantes do Tocantins"
170307,0,0,0,0,0,0,0,1,1,1,4544,"TO","Barra do Ouro"
170310,0,0,0,0,0,0,0,1,1,1,5643,"TO","Barrolândia"
170320,0,0,0,0,0,0,0,1,1,1,4518,"TO","Bernardo Sayão"
170360,0,0,0,0,0,0,0,1,1,1,2199,"TO","Brasilândia do Tocantins"
170370,0,0,0,0,0,0,0,1,1,1,5499,"TO","Brejinho de Nazaré"
170380,0,0,0,0,0,0,0,1,1,1,11135,"TO","Buriti do Tocantins"
170384,0,0,0,0,0,0,0,1,1,1,9795,"TO","Campos Lindos"
170386,0,0,0,0,0,0,0,1,1,1,4296,"TO","Cariri do Tocantins"
170388,0,0,0,0,0,0,0,1,1,1,2555,"TO","Carmolândia"
170389,0,0,0,0,0,0,0,1,1,1,4055,"TO","Carrasco Bonito"
170390,0,0,0,0,0,0,0,1,1,1,5265,"TO","Caseara"
170410,0,0,0,0,0,0,0,1,1,1,2866,"TO","Centenário"
170510,0,0,0,0,0,0,0,1,1,1,3364,"TO","Chapada da Natividade"
170550,0,0,0,0,0,0,0,1,1,1,34839,"TO","Colinas do Tocantins"
170555,0,0,0,0,0,0,0,1,1,1,4874,"TO","Combinado"
170560,0,0,0,0,0,0,0,1,1,1,4179,"TO","Conceição do Tocantins"
170600,0,0,0,0,0,0,0,1,1,1,5529,"TO","Couto Magalhães"
170610,0,0,0,0,0,0,0,1,1,1,7374,"TO","Cristalândia"
170625,0,0,0,0,0,0,0,1,1,1,1708,"TO","Crixás do Tocantins"
170700,0,0,0,0,0,0,0,1,1,1,21738,"TO","Dianópolis"
170710,0,0,0,0,0,0,0,1,1,1,6868,"TO","Divinópolis do Tocantins"
170720,0,0,0,0,0,0,0,1,1,1,7286,"TO","Dois Irmãos do Tocantins"
170730,0,0,0,0,0,0,0,1,1,1,4727,"TO","Dueré"
170740,0,0,0,0,0,0,0,1,1,1,10793,"TO","Esperantina"
170755,0,0,0,0,0,0,0,1,1,1,3879,"TO","Fátima"
170765,0,0,0,0,0,0,0,1,1,1,5352,"TO","Figueirópolis"
170770,0,0,0,0,0,0,0,1,1,1,8893,"TO","Filadélfia"
170820,0,0,0,0,0,0,0,1,1,1,18684,"TO","Formoso do Araguaia"
170825,0,0,0,0,0,0,0,1,1,1,2584,"TO","Fortaleza do Tabocão"
170830,0,0,0,0,0,0,0,1,1,1,5153,"TO","Goianorte"
170900,0,0,0,0,0,0,0,1,1,1,12973,"TO","Goiatins"
170930,0,0,0,0,0,0,0,1,1,1,25642,"TO","Guaraí"
170950,0,0,0,0,0,0,0,1,1,1,85523,"TO","Gurupi"
170980,0,0,0,0,0,0,0,1,1,1,1955,"TO","Ipueiras"
171090,0,0,0,0,0,0,0,1,1,1,3772,"TO","Itapiratins"
171110,0,0,0,0,0,0,0,1,1,1,2465,"TO","Itaporã do Tocantins"
171150,0,0,0,0,0,0,0,1,1,1,3821,"TO","Jaú do Tocantins"
171180,0,0,0,0,0,0,0,1,1,1,2229,"TO","Juarina"
171190,0,0,0,0,0,0,0,1,1,1,12808,"TO","Lagoa da Confusão"
171195,0,0,0,0,0,0,0,1,1,1,4191,"TO","Lagoa do Tocantins"
171200,0,0,0,0,0,0,0,1,1,1,3092,"TO","Lajeado"
171240,0,0,0,0,0,0,0,1,1,1,3787,"TO","Lizarda"
171245,0,0,0,0,0,0,0,1,1,1,3038,"TO","Luzinópolis"
171250,0,0,0,0,0,0,0,1,1,1,5054,"TO","Marianópolis do Tocantins"
171270,0,0,0,0,0,0,0,1,1,1,2614,"TO","Mateiros"
171320,0,0,0,0,0,0,0,1,1,1,19055,"TO","Miracema do Tocantins"
171330,0,0,0,0,0,0,0,1,1,1,13426,"TO","Miranorte"
171360,0,0,0,0,0,0,0,1,1,1,7770,"TO","Monte do Carmo"
171370,0,0,0,0,0,0,0,1,1,1,2264,"TO","Monte Santo do Tocantins"
171380,0,0,0,0,0,0,0,1,1,1,6535,"TO","Palmeiras do Tocantins"
171395,0,0,0,0,0,0,0,1,1,1,3507,"TO","Muricilândia"
171420,0,0,0,0,0,0,0,1,1,1,9312,"TO","Natividade"
171430,0,0,0,0,0,0,0,1,1,1,4060,"TO","Nazaré"
171488,0,0,0,0,0,0,0,1,1,1,11715,"TO","Nova Olinda"
171500,0,0,0,0,0,0,0,1,1,1,4203,"TO","Nova Rosalândia"
171510,0,0,0,0,0,0,0,1,1,1,4267,"TO","Novo Acordo"
171515,0,0,0,0,0,0,0,1,1,1,2353,"TO","Novo Alegre"
171525,0,0,0,0,0,0,0,1,1,1,2697,"TO","Novo Jardim"
171550,0,0,0,0,0,0,0,1,1,1,1110,"TO","Oliveira de Fátima"
171570,0,0,0,0,0,0,0,1,1,1,5859,"TO","Palmeirante"
171575,0,0,0,0,0,0,0,1,1,1,7687,"TO","Palmeirópolis"
171610,0,0,0,0,0,0,0,1,1,1,50360,"TO","Paraíso do Tocantins"
171620,0,0,0,0,0,0,0,1,1,1,10562,"TO","Paranã"
171630,0,0,0,0,0,0,0,1,1,1,4853,"TO","Pau D'Arco"
171660,0,0,0,0,0,0,0,1,1,1,11591,"TO","Peixe"
171665,0,0,0,0,0,0,0,1,1,1,5453,"TO","Pequizeiro"
171670,0,0,0,0,0,0,0,1,1,1,8409,"TO","Colméia"
171700,0,0,0,0,0,0,0,1,1,1,4520,"TO","Pindorama do Tocantins"
171720,0,0,0,0,0,0,0,1,1,1,3044,"TO","Piraquê"
171750,0,0,0,0,0,0,0,1,1,1,7536,"TO","Pium"
171780,0,0,0,0,0,0,0,1,1,1,4645,"TO","Ponte Alta do Bom Jesus"
171790,0,0,0,0,0,0,0,1,1,1,7949,"TO","Ponte Alta do Tocantins"
171800,0,0,0,0,0,0,0,1,1,1,3102,"TO","Porto Alegre do Tocantins"
171820,0,0,0,0,0,0,0,1,1,1,52828,"TO","Porto Nacional"
171830,0,0,0,0,0,0,0,1,1,1,8365,"TO","Praia Norte"
171840,0,0,0,0,0,0,0,1,1,1,3733,"TO","Presidente Kennedy"
171845,0,0,0,0,0,0,0,1,1,1,2650,"TO","Pugmil"
171850,0,0,0,0,0,0,0,1,1,1,4230,"TO","Recursolândia"
