"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
120020,0,0,2,0,0,0,0,0,2,2,82622,"AC","Cruzeiro do Sul"
120033,0,0,1,0,0,0,0,0,1,1,17910,"AC","Mâncio Lima"
120038,1,0,1,0,0,0,0,0,2,2,18510,"AC","Plácido de Castro"
120042,1,0,0,0,0,0,0,0,1,1,17945,"AC","Rodrigues Alves"
130030,0,0,0,0,0,0,0,0,0,1,38454,"AM","Autazes"
130165,0,0,0,0,0,0,0,0,0,1,16339,"AM","Guajará"
130185,0,0,0,0,0,0,0,0,0,2,47407,"AM","Iranduba"
130190,0,0,0,0,0,0,0,0,0,1,99854,"AM","Itacoatiara"
130260,0,0,0,0,0,0,0,0,0,220,2130264,"AM","Manaus"
130320,0,0,0,0,0,0,0,0,0,2,18586,"AM","Novo Airão"
130380,0,0,0,0,0,0,0,0,0,1,44553,"AM","São Gabriel da Cachoeira"
140002,0,0,0,2,0,0,0,0,2,5,11560,"RR","Amajari"
140005,0,0,0,0,0,0,0,0,0,1,15933,"RR","Alto Alegre"
140010,0,0,0,1,0,0,0,0,1,5,332020,"RR","Boa Vista"
140015,0,0,0,3,0,0,0,0,3,4,11945,"RR","Bonfim"
140017,0,0,0,0,0,0,0,0,0,1,16877,"RR","Cantá"
140020,0,0,0,3,0,0,0,0,3,5,20807,"RR","Caracaraí"
140023,0,0,0,1,0,0,0,0,1,4,9493,"RR","Caroebe"
140028,0,0,0,2,0,0,0,0,2,4,10859,"RR","Iracema"
140040,0,0,0,3,0,0,0,0,3,3,10527,"RR","Normandia"
140045,0,0,0,2,0,0,0,0,2,4,12375,"RR","Pacaraima"
140047,0,0,0,2,0,0,0,0,2,5,28215,"RR","Rorainópolis"
140050,0,0,0,1,0,0,0,0,1,4,7740,"RR","São João da Baliza"
140060,0,0,0,1,0,0,0,0,1,3,7597,"RR","São Luiz"
140070,0,0,0,0,0,0,0,0,0,2,9836,"RR","Uiramutã"
