"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
110012,0,0,0,0,0,0,4,0,4,4,132667,"RO","Ji-Paraná"
130260,0,0,0,0,0,0,0,0,0,21,2130264,"AM","Manaus"
150277,0,0,0,0,0,0,0,0,0,12,17453,"PA","Curionópolis"
170025,0,0,0,0,0,0,0,0,0,2,2571,"TO","Abreulândia"
170030,0,0,0,0,0,0,0,0,0,10,6460,"TO","Aguiarnópolis"
170035,0,0,0,0,0,0,0,0,0,7,5527,"TO","Aliança do Tocantins"
170040,0,0,0,0,0,0,0,0,0,23,7273,"TO","Almas"
170070,0,0,0,0,0,0,0,0,0,9,8516,"TO","Alvorada"
170110,0,0,0,0,0,0,0,0,0,4,4726,"TO","Aparecida do Rio Negro"
170130,0,0,0,0,0,0,0,0,0,6,5865,"TO","Aragominas"
170190,0,0,0,0,0,0,0,0,0,7,7003,"TO","Araguacema"
170200,0,0,0,0,0,0,0,0,0,5,8692,"TO","Araguaçu"
170210,0,0,0,0,0,0,0,0,0,60,175960,"TO","Araguaína"
170215,0,0,0,0,0,0,1,0,1,10,5645,"TO","Araguanã"
170230,0,0,0,0,0,0,0,0,0,3,6756,"TO","Arapoema"
170240,0,0,0,0,0,0,0,0,0,5,10727,"TO","Arraias"
170255,0,0,0,0,0,0,0,0,0,15,18089,"TO","Augustinópolis"
170270,0,0,0,0,0,0,0,0,0,4,3735,"TO","Aurora do Tocantins"
170300,0,0,0,0,0,0,0,0,0,6,10752,"TO","Babaçulândia"
170305,0,0,0,0,0,0,0,0,0,11,3500,"TO","Bandeirantes do Tocantins"
170307,0,0,0,0,0,0,0,0,0,8,4544,"TO","Barra do Ouro"
170310,0,0,0,0,0,0,0,0,0,4,5643,"TO","Barrolândia"
170320,0,0,0,0,0,0,0,0,0,6,4518,"TO","Bernardo Sayão"
170360,0,0,0,0,0,0,0,0,0,10,2199,"TO","Brasilândia do Tocantins"
170370,0,0,0,0,0,0,0,0,0,4,5499,"TO","Brejinho de Nazaré"
170380,0,0,0,0,0,0,0,0,0,12,11135,"TO","Buriti do Tocantins"
170384,0,0,0,0,0,0,0,0,0,4,9795,"TO","Campos Lindos"
170386,0,0,0,0,0,0,0,0,0,4,4296,"TO","Cariri do Tocantins"
170388,0,0,0,0,0,0,0,0,0,4,2555,"TO","Carmolândia"
170389,0,0,0,0,0,0,0,0,0,9,4055,"TO","Carrasco Bonito"
170390,0,0,0,0,0,0,0,0,0,4,5265,"TO","Caseara"
170410,0,0,0,0,0,0,0,0,0,5,2866,"TO","Centenário"
170510,0,0,0,0,0,0,0,0,0,12,3364,"TO","Chapada da Natividade"
170550,0,0,0,0,0,0,0,0,0,18,34839,"TO","Colinas do Tocantins"
170555,0,0,0,0,0,0,0,0,0,6,4874,"TO","Combinado"
170560,0,0,0,0,0,0,0,0,0,12,4179,"TO","Conceição do Tocantins"
170600,0,0,0,0,0,0,0,0,0,10,5529,"TO","Couto Magalhães"
170610,0,0,0,0,0,0,0,0,0,3,7374,"TO","Cristalândia"
170625,0,0,0,0,0,0,0,0,0,3,1708,"TO","Crixás do Tocantins"
170700,0,0,0,0,0,0,0,0,0,6,21738,"TO","Dianópolis"
170710,0,0,0,0,0,0,0,0,0,3,6868,"TO","Divinópolis do Tocantins"
170720,0,0,0,0,0,0,0,0,0,8,7286,"TO","Dois Irmãos do Tocantins"
170730,0,0,0,0,0,0,0,0,0,2,4727,"TO","Dueré"
170740,0,0,0,0,0,0,0,0,0,2,10793,"TO","Esperantina"
170755,0,0,0,0,0,0,0,0,0,12,3879,"TO","Fátima"
170765,0,0,0,0,0,0,0,0,0,4,5352,"TO","Figueirópolis"
170770,0,0,0,0,0,0,0,0,0,23,8893,"TO","Filadélfia"
170820,0,0,0,0,0,0,0,0,0,6,18684,"TO","Formoso do Araguaia"
170825,0,0,0,0,0,0,0,0,0,4,2584,"TO","Fortaleza do Tabocão"
170830,0,0,0,0,0,0,0,0,0,10,5153,"TO","Goianorte"
170900,0,0,0,0,0,0,0,0,0,19,12973,"TO","Goiatins"
170930,0,0,0,0,0,0,0,0,0,6,25642,"TO","Guaraí"
170950,0,0,0,0,0,0,0,0,0,4,85523,"TO","Gurupi"
170980,0,0,0,0,0,0,0,0,0,3,1955,"TO","Ipueiras"
171090,0,0,0,0,0,0,0,0,0,3,3772,"TO","Itapiratins"
171110,0,0,0,0,0,0,0,0,0,7,2465,"TO","Itaporã do Tocantins"
171150,0,0,0,0,0,0,0,0,0,6,3821,"TO","Jaú do Tocantins"
171180,0,0,0,0,0,0,0,0,0,5,2229,"TO","Juarina"
171190,0,0,0,0,0,0,0,0,0,2,12808,"TO","Lagoa da Confusão"
171195,0,0,0,0,0,0,0,0,0,4,4191,"TO","Lagoa do Tocantins"
171200,0,0,0,0,0,0,0,0,0,2,3092,"TO","Lajeado"
171240,0,0,0,0,0,0,0,0,0,2,3787,"TO","Lizarda"
171245,0,0,0,0,0,0,0,0,0,4,3038,"TO","Luzinópolis"
171250,0,0,0,0,0,0,0,0,0,4,5054,"TO","Marianópolis do Tocantins"
171270,0,0,0,0,0,0,0,0,0,6,2614,"TO","Mateiros"
171320,0,0,0,0,0,0,0,0,0,4,19055,"TO","Miracema do Tocantins"
171330,0,0,0,0,0,0,0,0,0,3,13426,"TO","Miranorte"
171360,0,0,0,0,0,0,0,0,0,2,7770,"TO","Monte do Carmo"
171370,0,0,0,0,0,0,0,0,0,3,2264,"TO","Monte Santo do Tocantins"
171380,0,0,0,0,0,0,0,0,0,10,6535,"TO","Palmeiras do Tocantins"
