"stateLettersCode","total","pctOfBrazil","atLeastOneTest","atLeastOneTestPct","noTest","noTestPct"
"AL",102,1.83,1,0.98,101,99.02
"AM",62,1.11,1,1.61,61,98.39
"BA",417,7.49,265,63.55,152,36.45
"CE",184,3.3,6,3.26,178,96.74
"ES",78,1.4,18,23.08,60,76.92
"GO",246,4.42,184,74.8,62,25.2
"MA",217,3.9,1,0.46,216,99.54
"MG",853,15.31,76,8.91,777,91.09
"MS",79,1.42,68,86.08,11,13.92
"MT",141,2.53,33,23.4,108,76.6
"PA",144,2.59,1,0.69,143,99.31
"PR",399,7.16,380,95.24,19,4.76
"RJ",92,1.65,21,22.83,71,77.17
"RO",52,0.93,1,1.92,51,98.08
"RS",497,8.92,266,53.52,231,46.48
"SC",295,5.3,235,79.66,60,20.34
"SE",75,1.35,16,21.33,59,78.67
"SP",645,11.58,560,86.82,85,13.18
"TO",139,2.5,121,87.05,18,12.95
